word,length,fre,pmi,entropy
支持向量机,5,5.574881812505575e-05,5.97037025627919,1.6094379124341005
搞不好,3,7.804834537507805e-05,5.831938227655665,1.7478680974667573
希望山脉,4,5.574881812505575e-05,6.245036960618901,1.3321790402101223
喂喂,2,4.45990545000446e-05,6.519398189095021,1.0397207708399179
线性分类器,5,4.45990545000446e-05,6.1518188317868,1.3862943611198906
渐渐消失,4,3.344929087503345e-05,6.434278960257429,1.0986122886681096
发出一声,4,7.804834537507805e-05,5.777499423868359,1.7478680974667573
写下这封信,5,3.344929087503345e-05,6.406879986069314,1.0986122886681096
条短信,3,3.344929087503345e-05,6.397911316086554,1.0986122886681096
失踪案件,4,4.45990545000446e-05,6.105774893285393,1.3862943611198906
祝小茉,3,6.68985817500669e-05,6.241212864180497,1.242453324894
啊啊啊,3,0.00012264739987512266,6.115825229138895,1.3667110520552042
非常非常,4,4.45990545000446e-05,6.434278960257429,1.0397207708399179
蒙特先生,4,5.574881812505575e-05,6.136234100770102,1.3321790402101223
狠狠撞,3,3.344929087503345e-05,6.362819996275284,1.0986122886681096
笑起来,3,0.00023414503612523415,4.987359977321104,2.425479704683253
刚到现世,4,3.344929087503345e-05,6.298146785932849,1.0986122886681096
摇摇头,3,0.00016724645437516726,5.487351258921384,1.8989267893363286
成对约束,4,4.45990545000446e-05,6.292104471476886,1.0397207708399179
很多东西,4,4.45990545000446e-05,5.933924636358734,1.3862943611198906
给人一种,4,4.45990545000446e-05,5.931821586161955,1.3862943611198906
婴儿床,3,4.45990545000446e-05,6.265356963109858,1.0397207708399179
任何生物,4,3.344929087503345e-05,6.174767764772344,1.0986122886681096
感知处理器,5,3.344929087503345e-05,6.1518188317868,1.0986122886681096
亚德先生,4,3.344929087503345e-05,6.136234100770102,1.0986122886681096
沉入水,3,3.344929087503345e-05,6.11414314295591,1.0986122886681096
第一次,3,0.00012264739987512266,5.310727723242067,1.893788232391138
怎么回事,4,6.68985817500669e-05,5.931821586161955,1.242453324894
中心医院,4,3.344929087503345e-05,6.07137346656806,1.0986122886681096
吸血鬼一族,5,3.344929087503345e-05,6.066554180132112,1.0986122886681096
盯着,2,0.00012264739987512266,5.018897860835704,2.1458417525947544
意识到,3,0.0001337971635001338,5.058455899004834,2.094729047527649
既然如此,4,5.574881812505575e-05,5.820595951051731,1.3321790402101223
点三十分,4,4.45990545000446e-05,6.066554180132111,1.0397207708399179
句话,2,0.00014494692712514496,5.839571852510736,1.2658567518727373
四个周,3,3.344929087503345e-05,5.992446207978389,1.0986122886681096
种族的普灵,5,7.804834537507805e-05,5.931821586161955,1.15374194270109
分成四,3,3.344929087503345e-05,5.95735488816712,1.0986122886681096
紧紧握,3,3.344929087503345e-05,5.948771144475728,1.0986122886681096
大家都,3,7.804834537507805e-05,5.0802454613557595,1.945910149055313
声音颤抖,4,3.344929087503345e-05,5.911030816492881,1.0986122886681096
寄给小茉,4,4.45990545000446e-05,5.969279148696855,1.0397207708399179
早上好,3,6.68985817500669e-05,5.677787547828407,1.3296613488547582
双腿,2,5.574881812505575e-05,5.655973971357176,1.3321790402101223
之前我一直,5,3.344929087503345e-05,5.886639363368722,1.0986122886681096
月亮周,3,8.91981090000892e-05,5.308267697401205,1.6674619334292948
伸出右手,4,5.574881812505575e-05,5.632651136703414,1.3321790402101223
案发时间,4,3.344929087503345e-05,5.858914815353867,1.0986122886681096
尤娜小姐,4,7.804834537507805e-05,5.195214836120223,1.7478680974667573
好好学习,4,3.344929087503345e-05,5.831938227655665,1.0986122886681096
月快跑,3,3.344929087503345e-05,5.805670300835055,1.0986122886681096
被遗弃,3,3.344929087503345e-05,5.7934002082432405,1.0986122886681096
几秒,2,6.68985817500669e-05,5.331047725733025,1.5607104090414063
请千万不要,5,3.344929087503345e-05,5.783691394116279,1.0986122886681096
呀呀,2,3.344929087503345e-05,5.7681128885285915,1.0986122886681096
望向,2,0.00021184550887521185,4.449955730824763,2.4061595753978207
第二层,3,4.45990545000446e-05,5.804744803314112,1.0397207708399179
戴着,2,0.00014494692712514496,4.58811494474325,2.245035274126178
地回答,3,0.0001783962180001784,4.22012670860039,2.599301927099795
想必小茉,4,4.45990545000446e-05,5.776471146142793,1.0397207708399179
翻开盖子,4,3.344929087503345e-05,5.703648686442743,1.0986122886681096
很肯定,3,3.344929087503345e-05,5.694769604801613,1.0986122886681096
上一封信,4,7.804834537507805e-05,5.242884938138353,1.5498260458782016
每个种族,4,3.344929087503345e-05,5.673992476859855,1.0986122886681096
狠狠砸向,4,3.344929087503345e-05,5.667519962354238,1.0986122886681096
好奇地问,4,4.45990545000446e-05,5.6969819950845535,1.0397207708399179
伸出左手,4,3.344929087503345e-05,5.632651136703414,1.0986122886681096
请不要,3,5.574881812505575e-05,5.113264135499828,1.6094379124341005
快速跑,3,4.45990545000446e-05,5.665908358459896,1.0397207708399179
地说,2,0.0005686379448755686,3.1069591432408807,3.585119189175936
那个时候,4,6.68985817500669e-05,4.885928739803167,1.7917594692280547
吗我翻,3,3.344929087503345e-05,5.572209782549913,1.0986122886681096
记得当时,4,3.344929087503345e-05,5.563450602460031,1.0986122886681096
电话那头,4,3.344929087503345e-05,5.551889780058955,1.0986122886681096
这件事,3,0.00014494692712514496,4.289885821709857,2.351673301904631
两个,2,0.0003902417268753902,3.6351362152950975,3.0033196465950316
随信附上,4,4.45990545000446e-05,5.242884938138353,1.3862943611198906
对我来说,4,3.344929087503345e-05,5.52076987134515,1.0986122886681096
说不出话,4,3.344929087503345e-05,5.52076987134515,1.0986122886681096
说过的话,4,3.344929087503345e-05,5.52076987134515,1.0986122886681096
又是谁,3,3.344929087503345e-05,5.506938392196689,1.0986122886681096
没想到,3,0.00010034787262510035,4.401026801046967,2.1972245773362196
地问,2,0.0003790919632503791,3.437321946807542,3.1594002525550158
发生了什么,5,6.68985817500669e-05,5.352003090909013,1.242453324894
谢谢你,3,6.68985817500669e-05,5.029635460469342,1.5607104090414063
飞奔向,3,3.344929087503345e-05,5.485198405560283,1.0986122886681096
月之周,3,5.574881812505575e-05,5.528038564236775,1.0549201679861442
转过身来,4,7.804834537507805e-05,4.630685033382371,1.945910149055313
站起来,3,8.91981090000892e-05,4.668906246202568,1.9061547465398496
新线索,3,3.344929087503345e-05,5.441370181591101,1.0986122886681096
果月·,3,4.45990545000446e-05,5.463263328694027,1.0397207708399179
用显示板,4,3.344929087503345e-05,5.392008425522712,1.0986122886681096
怎么可能,4,7.804834537507805e-05,4.532704625022167,1.945910149055313
一副,2,0.00016724645437516726,4.060924796375176,2.395908119293929
那一刻,3,6.68985817500669e-05,4.885928739803167,1.5607104090414063
能感觉到,4,4.45990545000446e-05,5.058455899004834,1.3862943611198906
瞪大眼,3,3.344929087503345e-05,5.3264500164843955,1.0986122886681096
照耀下,3,3.344929087503345e-05,5.324159064737839,1.0986122886681096
没有体味,4,4.45990545000446e-05,5.3818560540586935,1.0397207708399179
或其它,3,4.45990545000446e-05,5.375813739602731,1.0397207708399179
很有趣,3,4.45990545000446e-05,5.026940232225957,1.3862943611198906
甚至连,3,3.344929087503345e-05,5.306017977667189,1.0986122886681096
到底是什么,5,5.574881812505575e-05,5.058455899004834,1.3321790402101223
眼前的男,4,3.344929087503345e-05,5.290410080001198,1.0986122886681096
这封信,3,0.0002006957452502007,4.4017341218464265,1.9850531879046147
重新开始,4,3.344929087503345e-05,5.2642077076071745,1.0986122886681096
想象中,3,6.68985817500669e-05,5.029919591739899,1.329661348854758
你们两个,4,4.45990545000446e-05,4.947322604261266,1.3862943611198906
从容地,3,6.68985817500669e-05,4.770773826553053,1.5607104090414063
这么想着,4,6.68985817500669e-05,4.769458901971744,1.5607104090414063
都没有,3,0.00018954598162518956,3.5639876460226145,2.751666616931517
正对着,3,5.574881812505575e-05,4.682425624214491,1.6094379124341005
口袋里,3,3.344929087503345e-05,5.181515991762061,1.0986122886681096
导师办公室,5,3.344929087503345e-05,5.180854834713183,1.0986122886681096
那枚,2,3.344929087503345e-05,5.173610812254948,1.0986122886681096
一定要,3,0.0001114976362501115,3.9591421020652335,2.3025850929940455
在我眼前,4,6.68985817500669e-05,4.465484517368528,1.7917594692280547
第一层,3,4.45990545000446e-05,5.202569400959893,1.0397207708399179
大声冲,3,3.344929087503345e-05,5.140693997241806,1.0986122886681096
大步迈,3,3.344929087503345e-05,5.140693997241806,1.0986122886681096
小屁孩,3,4.45990545000446e-05,5.1835020897336905,1.0397207708399179
开组会,3,3.344929087503345e-05,5.123072395891986,1.0986122886681096
执著地,3,4.45990545000446e-05,4.835312347690624,1.3862943611198906
那本小说,4,4.45990545000446e-05,5.173610812254948,1.0397207708399179
窗玻璃,3,3.344929087503345e-05,5.114376688924432,1.0986122886681096
父亲大人,4,7.804834537507805e-05,4.464838313791922,1.7478680974667573
很容易,3,3.344929087503345e-05,5.106982939899494,1.0986122886681096
发生的事,4,3.344929087503345e-05,5.105143012977487,1.0986122886681096
出勤时,3,4.45990545000446e-05,5.157985494351867,1.0397207708399179
从内部,3,3.344929087503345e-05,5.097816972885414,1.0986122886681096
没办法,3,3.344929087503345e-05,5.094173981606913,1.0986122886681096
这么做,3,8.91981090000892e-05,4.283951086190043,1.9061547465398496
我连忙,3,0.0001783962180001784,3.5026223520123336,2.685945324669788
下一秒,3,0.00010034787262510035,4.8823263124588,1.3030924037617193
十三年前,4,6.68985817500669e-05,4.848024383278986,1.3296613488547582
妹妹写,3,4.45990545000446e-05,5.1378409282594,1.0397207708399179
吧说罢,3,3.344929087503345e-05,5.07022074058442,1.0986122886681096
关切地,3,3.344929087503345e-05,5.058455899004834,1.0986122886681096
灵巧地,3,3.344929087503345e-05,5.058455899004834,1.0986122886681096
这个词,3,4.45990545000446e-05,4.769458901971744,1.3862943611198906
这个问题,4,6.68985817500669e-05,4.363993793863579,1.7917594692280547
走上前,3,5.574881812505575e-05,4.532171433860508,1.6094379124341005
一定会,3,0.0001337971635001338,4.04542060983921,2.094729047527649
有条不紊地,5,4.45990545000446e-05,4.753813211246007,1.3862943611198906
你还好吗,4,3.344929087503345e-05,5.029635460469342,1.0986122886681096
你还记得,4,3.344929087503345e-05,5.029635460469342,1.0986122886681096
还真是,3,0.0001337971635001338,3.7546377597091816,2.3693821196946767
天夜晚,3,3.344929087503345e-05,5.01385159276808,1.0986122886681096
不可能,3,0.0003567924360003568,3.164383315892527,2.940142702686837
这么多,3,8.91981090000892e-05,4.189128054419415,1.9061547465398496
回头看,3,6.68985817500669e-05,4.527827647942663,1.5607104090414063
